benchmark,model,agent,dataset,total_tasks,runs,raw_mean,shrunken_mean,shrinkage_weight
code-migration,meta/muse_spark_1_2,mini_swe_code_migration,test_full,130,2,0.160941335,0.1396509963602431,0.5055529835007203
code-migration,grok/v9m-exp-0805-row17-47p8-api-high,mini_swe_code_migration,test_full,130,2,0.22123210499999998,0.17013117501129882,0.5055529835007203
code-migration,thinkingmachines/inkling-small,mini_swe_code_migration,test_full,130,3,0.0,0.046525956278894595,0.6053190495229952
code-migration,google/gemini-3.5-flash-lite,mini_swe_code_migration,test_full,130,2,0.030737934999999997,0.07382627902830542,0.5055529835007203
code-migration,deepseek/deepseek-v4-flash-0731,mini_swe_code_migration,test_full,130,3,6.532999999999999e-05,0.04656550177239993,0.6053190495229952
code-migration,ant/ling-3.0-flash-2607,mini_swe_code_migration,test_full,130,1,0.0,0.07800426999270911,0.33828765952838585
code-migration,google/gemini-3.1-flash-lite,mini_swe_code_migration,test_full,130,1,0.02406897,0.08614650552126804,0.33828765952838585
code-migration,xiaomi/mimo-v2.5-pro,mini_swe_code_migration,test_full,130,1,0.2535156,0.1637654689706436,0.33828765952838585
code-migration,anthropic/claude-horchata-eap,mini_swe_code_migration,test_full,130,1,0.5747298700000001,0.2724282925760626,0.33828765952838585
code-migration,google/gemini-3.6-flash,mini_swe_code_migration,test_full,130,1,0.30927772000000003,0.18262910603578458,0.33828765952838585
code-migration,kimi/kimi-k3,mini_swe_code_migration,test_full,130,1,0.32134959,0.1867128706842155,0.33828765952838585
code-migration,thinkingmachines/inkling,mini_swe_code_migration,test_full,130,1,0.11790495999999999,0.11789006295789706,0.33828765952838585
code-migration,xiaomi/mimo-v2.5,mini_swe_code_migration,test_full,130,2,0.08954617000000001,0.10355695768696692,0.5055529835007203
code-migration,kimi/kimi-k2.6-thinking,mini_swe_code_migration,test_full,130,1,0.00478067,0.07962151165798667,0.33828765952838585
code-migration,openai/gpt-5.6-luna,mini_swe_code_migration,test_full,130,1,0.44550491000000003,0.2287130833050133,0.33828765952838585
code-migration,grok/v9-carrot,mini_swe_code_migration,test_full,130,1,0.05384615,0.0962197580508235,0.33828765952838585
code-migration,anthropic/claude-sonnet-5,mini_swe_code_migration,test_full,130,1,0.046153849999999996,0.0936175478874333,0.33828765952838585
code-migration,anthropic/claude-haiku-4-5-20251001-thinking,mini_swe_code_migration,test_full,130,1,0.0,0.07800426999270911,0.33828765952838585
code-migration,anthropic/claude-haiku-4-5-20251001,mini_swe_code_migration,test_full,130,1,0.0,0.07800426999270911,0.33828765952838585
