run_id,benchmark,model,agent,dataset,total_tasks_metadata,all_task_error_run,detailed_tasks,binary_coverage,native_coverage,cost_coverage,token_coverage,cache_coverage,binary_pass_rate,native_score,total_cost_observed,mean_task_cost,p90_task_cost,total_input_tokens_observed,total_output_tokens_observed,total_cache_read_tokens_observed,total_cache_write_tokens_observed,total_duration_seconds_observed,successes_observed,cost_per_success
6de29875-e22f-460a-b6e7-a9ad9674eb41,terminal-bench,openai/joule-alpha-code-mode,terminus2,default,89,False,89,0.9887640449438202,0.9887640449438202,0.0,0.0,0.0,0.7727272727272727,0.7727272727272727,,,,,,,,,68.0,
438a517d-53aa-41ce-805f-844abfefd73a,vcb,google/models/ajax,openhands,test_set,50,False,46,0.0,1.0,1.0,1.0,0.0,,0.4815427929558365,181.2435054,3.9400762043478257,5.832810374999999,50135364.0,2993468.0,,,39717.527054,,
450410a3-c042-4a4e-a313-9a1f0d97e663,programbench,grok/v9m-exp-0805-row17-47p8-api-high,programbench_agent,default,200,False,199,1.0,1.0,0.0,0.0,0.0,0.0,0.7568459059296482,,,,,,,,,0.0,
e2cecbf3-56d5-4044-a481-f5c819e39c14,terminal-bench,meta/glassy_lagoon,terminus2,terminal-bench-2.1,89,False,89,0.9887640449438202,0.9887640449438202,0.0,0.0,0.0,0.7159090909090909,0.7159090909090909,,,,,,,,,63.0,
66370377-80ca-43fa-ab18-6e4361c9853a,terminal-bench,minimax/MiniMax-M3,terminus2,terminal-bench-2.1,89,False,89,1.0,1.0,0.0,0.0,0.0,0.5393258426966292,0.5393258426966292,,,,,,,,,48.0,
e23f6b9f-3331-41af-a7c8-83d78c708d9d,vcb,meta/super_nova_vals,openhands,validation_set,50,False,50,0.0,1.0,0.0,1.0,1.0,,0.6942769187334404,,,,3190530.0,1880274.0,0.0,0.0,25980.666364,,
99c5ed4a-45ac-48f6-85f1-c1e39d168694,terminal-bench,google/gemini-3.1-flash-lite,terminus2,terminal-bench-2.1,89,True,0,0,0,0,0,0,,,,,,,,,,,,
b25f4f20-0bf5-4b0a-af8f-66524dced622,legal-research,poolside/laguna-xs.2:fast,legal_research_agent,test,208,False,208,1.0,1.0,1.0,1.0,1.0,0.009615384615384616,0.5626993518229254,22.4416117,0.1078923639423077,0.18976916000000002,75672423.0,1278973.0,288125104.0,,73223.583,2.0,11.22080585
eb0c2152-33e0-4f9d-84c1-2bc6bc82925e,swebench,openai/gpt-5.6-luna,mini_sweagent,default,500,False,500,1.0,0.0,0.0,0.0,0.0,0.93,,,,,,,,,,465.0,
e965fb97-8db2-4931-b3e3-4e1e6274f324,legal-research,cohere/command-a-plus-05-2026,legal_research_agent,test,208,True,0,0,0,0,0,0,,,,,,,,,,,,
